#Table1
class,subclass,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux
GALAXY,,22.48147,19.78972,23.24092,56.42565
GALAXY,BROADLINE,15.53462,11.4995,27.84308,5.266586
GALAXY,BROADLINE,71.53205,34.75086,153.5443,213.8211
GALAXY,BROADLINE,43.36893,30.17632,94.28511,106.5497
GALAXY,STARFORMING,151.9955,649.8162,3188.932,1394.847
GALAXY,STARFORMING,767.9733,583.1999,1815.267,644.0153
GALAXY,STARFORMING,135.2468,76.35136,251.8301,53.95197
GALAXY,STARFORMING,46.30285,245.9776,2279.313,803.074
GALAXY,AGN BROADLINE,108.7206,85.28259,179.7516,155.4072
GALAXY,AGN,6729.555,928.8184,3834.808,2136.215
GALAXY,BROADLINE,105.352,39.83431,134.2088,180.0612
GALAXY,BROADLINE,290.1295,249.4755,1018.766,2150.149
GALAXY,,36.80968,35.20249,39.7809,25.23235
GALAXY,,29.53423,38.35725,120.0485,195.5488
GALAXY,,68.87887,60.21879,55.38243,39.07806
GALAXY,AGN BROADLINE,114.9052,57.69132,302.0363,595.5143
GALAXY,STARFORMING,311.3846,439.8564,2057.022,1051.812
GALAXY,STARFORMING,76.21757,581.3502,3564.034,2264.24
GALAXY,AGN BROADLINE,138.2802,50.6273,164.1876,78.28135
GALAXY,,79.44308,57.19763,144.9928,279.8375
GALAXY,BROADLINE,101.4841,19.3989,81.42939,107.8004
GALAXY,,63.30873,26.51657,76.66695,38.33765
GALAXY,STARBURST,2802.678,921.8132,2819.223,210.3562
GALAXY,STARFORMING,156.7305,369.9953,2021.783,1403.095
GALAXY,BROADLINE,109.2875,58.20211,177.7462,301.5474
GALAXY,STARFORMING BROADLINE,71.22566,114.3835,345.9566,276.9063
GALAXY,BROADLINE,88.74886,52.34406,169.2189,217.4963
GALAXY,,21.17522,6.678344,13.53639,24.41512
GALAXY,,5.111542,12.79183,22.87749,20.62269
GALAXY,BROADLINE,78.20817,57.08677,146.7261,222.1381
GALAXY,,91.06802,38.65483,104.0566,125.5988
GALAXY,STARFORMING,212.0179,914.5603,3774.398,2802.572
GALAXY,BROADLINE,32.40631,22.75553,62.02309,61.45629
GALAXY,BROADLINE,100.8902,32.42779,86.78221,108.0469
GALAXY,BROADLINE,9.357468,9.310156,37.41285,3.998514
GALAXY,STARBURST,1148.948,521.15,1884.265,218.7063
GALAXY,STARFORMING,52.36721,80.34161,379.9902,251.7317
