#Table1
specobjid,oiii_5007_flux,oiii_5007_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err
532558659759138816,52.35191,6.195063,35.74885,5.803112,143.8768,8.199516,174.7336,7.834767
1875810592753739776,80.43136,8.001318,114.7839,7.764686,316.3889,11.71402,264.8346,11.84311
2009835586914904064,157.5523,13.71316,103.9542,12.0442,386.7274,24.34729,454.2625,25.35846
2179755744532916224,53.60918,8.991663,66.61237,7.522214,386.0497,12.86977,303.3511,13.35402
2479297075636889600,191.7525,10.37218,154.0257,10.76186,361.0269,16.20517,359.933,14.47651
2482666532828637184,745.2076,9.194131,1114.49,10.36582,3924.727,25.94538,1299.615,10.22454
413269895623501824,78.43416,3.692496,115.0233,3.346775,612.879,5.52207,497.0024,5.038947
637364113302906880,143.5862,5.276771,28.5283,3.585597,153.8122,5.093475,111.482,4.938389
1426645798166226944,201.5748,10.71545,206.0101,10.70756,662.5453,18.00977,450.8914,15.4779
799456865661511680,266.7648,18.85644,159.6467,15.4537,627.265,27.59264,1293.288,32.40283
1611231811243894784,55.55807,5.345506,28.19223,3.622365,66.71165,4.72073,35.21398,5.236964
748832875830339584,355.7972,15.74606,272.3611,15.34225,978.3191,26.8807,871.1136,23.99163
3106484637761824768,127.3183,12.69519,65.58327,10.83041,174.3565,17.24187,149.4402,16.78471
470763356744083456,230.8643,7.32206,906.6357,9.969327,3182.556,20.21624,1438.303,11.63956
1148446263054723072,155.4445,12.34192,77.28137,11.4072,202.3219,17.12277,242.2809,16.43388
1825096999888775168,157.6654,8.240476,326.0396,8.330744,1755.793,18.69861,1120.959,15.23662
1002210389611538432,140.6149,11.33928,67.60653,9.012314,162.4741,13.37847,146.2638,13.65172
609176753654491136,439.2678,4.511328,539.1512,4.549541,1928.083,11.34663,556.5782,3.668116
961617241424553984,81.99693,6.046089,309.3317,6.557569,1598.466,15.61671,807.6415,11.14215
1969337531853989888,66.67204,4.432194,48.74186,3.915164,161.1745,5.904143,194.1384,5.975096
617131445856528384,2703.689,16.35802,1363.554,8.215136,4564.237,22.95731,804.0414,4.158231
709384320791373824,470.1197,9.678471,2261.424,19.43406,8449.703,50.29559,3992.471,22.33614
940162195365324800,121.3114,10.09718,56.37286,9.20574,214.6009,13.96183,436.0734,14.77463
2027865098961315840,92.37119,8.354496,55.98993,7.58337,170.2104,11.47503,227.0901,11.89959
2444442556885395456,517.3818,14.51531,656.2391,13.61572,2763.628,31.42861,1363.364,22.34484
3088402889551407104,2322.263,32.86066,2452.829,29.62302,11302.42,91.37082,6562.333,54.51602
1024703370402752512,92.90167,7.545059,112.7672,5.905461,482.8284,10.69371,488.6393,11.96122
443758801896630272,85.03702,3.353854,54.687,3.352904,149.1404,4.543703,150.8927,4.106205
443763199943141376,25.18576,2.308312,11.15251,2.100574,39.5629,2.609937,42.805,2.458429
784763542409603072,120.0904,10.55298,47.91446,8.585038,159.4222,12.04509,173.9994,12.47401
2797986408013260800,59.41792,5.758434,35.97429,4.830225,104.926,7.150793,83.23093,7.167124
646392480119416832,603.2176,9.77308,1152.151,11.23137,4758.372,37.98169,1714.037,14.98945
1341019676557207552,474.108,18.33411,2923.707,33.38526,11551.39,90.17013,5544.387,45.72739
506815793665697792,45.54643,4.188739,20.32749,3.555561,92.99428,5.231034,103.2991,5.343668
392990498161190912,937.1672,6.487122,599.9487,4.775586,1766.253,10.78336,326.4864,2.819829
474121539076253696,3190.005,32.17569,361.6836,14.29919,1626.058,28.27699,3140.456,33.25869
2169715553952884736,105.8863,10.68658,106.1967,10.04088,329.5918,16.68064,428.9391,17.48588
1089977253162412032,616.2593,9.473064,192.1399,5.992562,676.93,10.04337,230.3844,7.478647
2991562307500271616,58.03428,5.41664,20.74319,3.865094,84.8021,5.877029,137.0748,7.019921
551792141785917440,51.52697,3.938634,29.01519,3.084471,110.031,4.439843,130.1001,5.001852
555123662487840768,2068.018,21.60298,1459.279,15.96255,5943.818,44.6895,2443.335,21.38391
