#Table1
plate,mjd,fiberid
476,52314,523
1735,53035,557
2147,53491,162
403,51871,550
739,52520,388
990,52465,427
1223,52781,471
1224,52765,379
2129,54252,420
525,52295,148
1738,53051,419
490,51929,237
490,51929,412
494,51915,124
494,51915,266
495,51988,207
1309,52762,443
1601,53115,118
1795,54507,457
517,52024,360
519,52283,280
795,52378,528
995,52731,4
1585,52962,477
2234,53823,566
2497,54154,441
812,52352,355
1694,53472,540
367,51997,472
637,52174,259
1873,54437,413
328,52282,575
329,52056,577
762,52232,498
1921,53317,429
1923,53319,382
340,51990,485
572,52289,442
1211,52964,96
1467,53115,216
1820,54208,13
2246,53767,66
497,51989,466
498,51984,104
498,51984,318
658,52146,548
957,52398,20
1843,53816,584
1776,53858,612
2006,53476,618
2428,53801,342
1012,52649,74
2121,54180,459
355,51788,414
355,51788,528
1831,54557,501
2033,53476,512
2034,53466,230
2520,54584,249
2520,54584,442
542,51993,560
1847,54176,630
656,52148,282
902,52409,134
1415,52885,144
2364,53737,458
613,52345,99
2158,54209,114
1218,52709,54
1951,53389,614
285,51930,280
585,52027,368
973,52426,114
2142,54208,637
450,51908,575
451,51908,133
1381,53089,447
2770,54510,433
2771,54527,419
2773,54533,640
1727,53859,568
2119,53792,479
2345,53757,522
2347,53757,151
2656,54484,131
692,52201,421
856,52339,50
1866,53314,508
2617,54502,143
502,51957,557
1443,53055,358
1444,53054,202
2162,54207,140
2356,53786,575
2645,54477,133
2882,54498,437
2883,54525,524
299,51671,98
299,51671,251
300,51943,136
564,52224,322
564,52224,471
565,52225,383
721,52228,454
960,52425,214
1419,53144,552
539,52017,586
2229,53823,484
432,51884,246
644,52173,413
1625,53140,134
2202,53566,592
465,51910,603
1058,52520,379
1059,52618,215
1059,52618,628
1060,52636,293
2271,53726,343
607,52368,625
1810,53794,504
1811,53533,122
1814,54555,573
976,52413,574
978,52441,524
1754,53385,324
1997,53442,639
2504,54179,639
2506,54179,9
624,52377,629
1839,53471,398
2294,54524,577
650,52143,279
1397,53119,190
2524,54568,468
2526,54582,404
278,51900,527
412,52258,129
2612,54480,330
2613,54481,342
414,51869,328
706,52199,177
1433,53035,134
1928,53327,610
2173,53874,354
2603,54479,259
396,51816,276
398,51789,10
1426,52993,551
2281,53711,151
2281,53711,618
2582,54139,125
1575,53493,495
2002,53471,150
2227,53820,85
456,51910,566
963,52643,545
1440,53084,204
1819,54540,140
2437,53848,438
2669,54086,451
551,51993,492
1277,52765,332
1791,54266,46
2222,53799,194
2222,53799,453
2972,54586,148
511,52636,315
