#Table1
specobjid,class,z,snmedian_g,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,OIII_Hbeta,Hbeta_Hgamma,OIII_Hgamma,E_BV
1120271552638642176,QSO,0.1601164,44.49894,565.23,3359.375,1305.886,-7.878808,-25.75145,-10.41472,0.1682545,2.572487,0.4328325,0.01523244
2021116027600922624,QSO,0.153836,46.83583,5399.232,4630.266,2533.496,-32.15296,-13.55527,-8.806407,1.166074,1.827619,2.131139,0.03453428
2101068919744784384,QSO,0.1415131,45.42774,1692.576,4447.396,1995.165,-15.56735,-15.2922,-8.526052,0.3805769,2.229087,0.8483391,0.08946528
636238762933774336,QSO,0.2967729,40.6056,440.1302,2577.094,1179.156,-4.268719,-16.616,-8.15502,0.1707854,2.185541,0.3732586,0.04973055
1999766524558075904,QSO,0.1341881,43.63135,881.886,1311.827,560.2008,-13.83867,-13.2989,-5.077151,0.6722579,2.341709,1.574232,0.03179598
2385913632736176128,QSO,0.1637161,39.48344,2112.922,2766.563,1265.713,-24.81136,-15.89823,-8.839527,0.7637355,2.185774,1.669353,0.0166308
2479394382415947776,QSO,0.1490557,36.40572,545.1528,1958.264,942.7999,-10.0706,-20.19644,-11.76659,0.2783858,2.077073,0.5782274,0.04924946
399808296380295168,QSO,0.09262062,44.80828,1131.109,1590.3,601.8199,-10.9717,-10.94744,-4.481374,0.7112553,2.642485,1.879482,0.04385718
610391714573608960,QSO,0.1322984,64.02676,445.8352,1274.526,641.8747,-8.004777,-15.90344,-8.113339,0.3498048,1.98563,0.6945829,0.0506738
1773428476443912192,QSO,0.2688824,43.70459,277.1395,1758.446,710.2274,-3.645309,-17.37642,-6.612545,0.1576048,2.475892,0.3902123,0.05115553
1437865486892165120,QSO,0.2055347,37.90739,858.121,1431.322,790.969,-12.90127,-10.36662,-7.349889,0.5995306,1.80958,1.084898,0.01941598
582189241841248256,QSO,0.07723631,45.4135,1940.391,2203.247,1166.518,-27.65263,-17.19365,-10.28885,0.880696,1.888738,1.663404,0.03000705
551756132780107776,QSO,0.1206493,45.23747,343.5264,967.4325,479.8855,-6.998533,-11.93238,-6.23436,0.3550909,2.015965,0.7158508,0.01723473
1015598590027917312,QSO,0.0563294,39.48527,2978.191,2322.049,977.8483,-37.09431,-20.472,-9.02868,1.28257,2.374651,3.045658,0.0146779
463906258752137216,QSO,0.08017637,47.70217,1637.148,2925.605,1454.904,-12.30785,-12.63087,-6.59675,0.559593,2.010858,1.125262,0.06504875
1572934448989628416,QSO,0.2679094,45.61032,591.0836,2752.637,1433.392,-3.896324,-14.3843,-7.395362,0.2147336,1.920366,0.4123669,0.01369871
858072655658510336,QSO,0.2543997,47.7855,6907.551,4576.92,2108.189,-43.59469,-15.03455,-8.156428,1.509214,2.17102,3.276532,0.028514
1593187999003207680,QSO,0.1534853,38.64934,11341.38,5517.438,2560.953,-102.8908,-27.59008,-14.45629,2.055553,2.154447,4.428579,0.05673105
2811493358235576320,QSO,0.2716148,36.92752,244.1208,944.9173,477.0703,-6.848554,-15.74488,-8.751025,0.2583514,1.980667,0.5117081,0.01725316
690203895149914112,QSO,0.07809116,44.92229,4076.676,5256.383,2686.988,-30.26341,-22.08883,-12.81935,0.7755668,1.956236,1.517192,0.01029091
1597803753161910272,QSO,0.09733227,42.15875,2074.677,2022.419,980.5318,-24.08595,-11.93944,-6.550022,1.025839,2.062574,2.115869,0.0167305
1621351992687355904,QSO,0.1548114,40.5854,846.9125,3967.237,1952.957,-5.921784,-19.68156,-9.415924,0.2134766,2.031401,0.4336566,0.01640413
2417351688781326336,QSO,0.1247753,35.67719,5038.458,2117.616,916.8344,-60.14673,-13.20133,-7.497892,2.379307,2.309704,5.495494,0.02633778
2557013034073614336,QSO,0.1591409,42.49717,2110.901,1350.098,768.8372,-42.44629,-15.53182,-10.06665,1.563517,1.756025,2.745576,0.04080644
448110941716899840,QSO,0.05435418,36.49837,4931.464,2138.112,1174.936,-60.10292,-15.47931,-9.347951,2.306458,1.81977,4.197221,0.04571947
658752634580133888,QSO,0.1058275,39.4706,928.6484,4298.79,1945.137,-10.67376,-31.98537,-14.1751,0.2160255,2.210019,0.4774205,0.02938451
731911666337343488,QSO,0.07390003,39.32929,6401.678,2517.656,1239.828,-82.94209,-19.92488,-11.18227,2.542713,2.03065,5.163361,0.03201083
2990426236808882176,QSO,0.05026987,35.75801,483.6237,1813.709,811.8341,-8.708104,-28.28315,-12.07912,0.2666491,2.234088,0.5957174,0.02607697
557377386966968320,QSO,0.2817113,35.74103,776.9902,1639.537,706.6,-15.97825,-20.40405,-7.606334,0.4739082,2.320319,1.099618,0.02384331
635096095457830912,QSO,0.060387,45.90843,1438.772,1887.681,871.7148,-30.07759,-21.58853,-12.26865,0.7621899,2.16548,1.650507,0.03116452
559700380175329280,QSO,0.1277341,42.49612,1036.479,2236.087,1256.739,-13.05238,-16.60515,-8.741285,0.4635237,1.779278,0.8247373,0.03951375
1095531986140817408,QSO,0.1632425,47.17627,844.8409,5054.773,2051.066,-5.789919,-23.87314,-9.944602,0.1671373,2.464462,0.4119034,0.02267168
575421483162036224,QSO,0.210923,36.55812,601.5096,1450.228,639.4663,-8.57042,-15.90424,-6.688317,0.4147691,2.267872,0.9406432,0.04759682
2411852768282175488,QSO,0.06449452,50.02684,3867.807,6220.282,2802.708,-21.08663,-21.8575,-8.845398,0.6218057,2.219383,1.380025,0.02924547
2568219256332249088,QSO,0.06521195,47.39406,4260.281,2226.578,868.7341,-29.46022,-11.93965,-5.039667,1.913376,2.563015,4.90401,0.0230756
2907107988646946816,QSO,0.1331618,44.56332,9180.033,4795.136,2261.436,-51.75267,-20.45918,-11.46482,1.914447,2.120395,4.059383,0.04058812
584419055767676928,QSO,0.2402315,45.88834,2442.218,2368.552,1205.612,-20.32894,-10.43072,-6.267013,1.031102,1.964605,2.025708,0.02099199
1191306322444838912,QSO,0.204809,40.06262,755.3818,2409.323,1124.563,-7.415027,-16.9973,-8.180568,0.3135245,2.142452,0.6717112,0.02150116
1625855042055596032,QSO,0.1145197,38.66998,951.3359,2711.675,1324.708,-5.843085,-12.26691,-6.42264,0.3508296,2.046999,0.7181479,0.02625755
466212752742967296,QSO,0.1846759,48.04957,1473.042,3112.576,1306.929,-18.86394,-20.72246,-9.828963,0.4732547,2.381596,1.127101,0.1184658
536072155624925184,QSO,0.05026412,39.49229,2367.825,3685.079,1811.943,-29.31319,-28.08086,-13.53556,0.642544,2.033772,1.306788,0.06889841
320958471644145664,QSO,0.2596902,38.24436,2002.034,923.6492,503.8788,-46.16981,-10.69686,-6.676981,2.167527,1.833078,3.973245,0.03197987
2501802983054927872,QSO,0.1426254,40.71203,4286.996,3572.795,1423.135,-49.94422,-24.84218,-10.95394,1.1999,2.510511,3.012361,0.02418874
2501874176432826368,QSO,0.05897063,45.00253,886.6225,2150.045,1126.438,-11.5472,-18.73977,-8.708666,0.4123738,1.908711,0.7871025,0.02191551
1377105100220164096,QSO,0.05014781,36.55472,2849.511,3397.969,1610.891,-29.28582,-22.88305,-10.27112,0.8385926,2.109372,1.768904,0.02880776
1624772023119013888,QSO,0.2248686,42.46271,524.3704,4215.459,1771.277,-4.37827,-21.6249,-10.53031,0.1243922,2.379898,0.2960408,0.02253275
2196799550142834688,QSO,0.07885244,46.30328,4883.344,8040.256,3266.457,-25.73394,-20.80499,-9.624524,0.6073617,2.461461,1.494997,0.01104522
2429723405663102976,QSO,0.136087,44.46289,724.6421,4356.603,1787.17,-5.677571,-24.24099,-10.53013,0.1663319,2.437711,0.4054691,0.04312729
2289095306417039360,QSO,0.2848447,40.27559,1063.173,3167.782,1516.804,-7.651133,-16.67516,-8.640867,0.3356205,2.088459,0.7009295,0.01505516
1829624234939279360,QSO,0.08044197,35.819,534.6088,2319.595,1068.148,-8.234655,-25.66527,-12.44667,0.230475,2.171605,0.5005008,0.02060772
3005150889850726400,QSO,0.08929483,40.09012,5258.064,9483.637,4790.24,-12.94457,-21.56355,-9.204815,0.5544354,1.979783,1.097662,0.4328821
