#Table1
specobjid,plate,mjd,fiberid,z
814163108527368192,723,52201,500,0.4711252
1029092901470103552,914,52721,74,0.6004359
3117714224776767488,2769,54527,354,0.5013504
968434212610795520,860,52319,583,0.5395291
2446677869343041536,2173,53874,354,0.4557629
2075194121030494208,1843,53816,584,0.4980763
2277713443215665152,2023,53851,65,0.4426132
2087459993677752320,1854,53566,151,0.5701357
592327293636995072,526,52312,378,0.6052949
1908568625644595200,1695,53473,612,0.4167772
720716989286344704,640,52178,513,0.4174148
895195194318678016,795,52378,381,0.6328651
2649407471197644800,2353,53794,600,0.5345858
2805897119330756608,2492,54178,562,0.4487692
2514188432557762560,2233,53845,196,0.4409869
1496470006441994240,1329,52767,542,0.5297855
717269470510344192,637,52174,259,0.5993487
2038017433503033344,1810,53794,504,0.4596158
2422966351334238208,2152,53874,108,0.4434626
2647017957183481856,2351,53772,99,0.506573
749985713453295616,666,52149,496,0.4320236
2352110792075143168,2089,53498,385,0.5216954
393107596149549056,349,51699,613,0.5344918
870493566055507968,773,52376,629,0.4364741
2290143690586351616,2034,53466,230,0.5083145
691426845278627840,614,53437,452,0.4807816
1628088425485723648,1446,53080,135,0.6415801
1378205711091132416,1224,52765,379,0.5228383
1932140511615805440,1716,53827,350,0.5008188
1130480517968324608,1004,52723,280,0.4396725
2847483404700641280,2529,54585,300,0.6282029
2642528650955614208,2347,53757,151,0.5113347
1535778376701208576,1364,53061,185,0.441353
2365611426514495488,2101,53858,348,0.4369766
3248375513193932800,2885,54497,561,0.6342537
462849620679092224,411,51817,381,0.5324706
863689786022455296,767,52252,453,0.6015885
2837389338185066496,2520,54584,442,0.4358573
624894827279968256,555,52266,74,0.4688599
1595521441850222592,1417,53141,441,0.4607684
462887553830250496,411,51817,519,0.6382288
2501856309368875008,2222,53799,388,0.4814424
667689190196013056,593,52026,111,0.4795515
1544868863978530816,1372,53062,488,0.4606494
1099036129480435712,976,52413,574,0.4689836
1974917553834715136,1754,53385,324,0.4343848
2804686001853720576,2491,53855,252,0.6305861
1852249985752524800,1645,53172,526,0.4285249
2371181000249075712,2106,53714,130,0.4338618
3112001987126781952,2764,54535,53,0.5871955
2022278750695090176,1796,53884,591,0.4590819
1929795523057838080,1714,53521,11,0.4674143
570875547589044224,507,52353,161,0.5988851
860202134904268800,764,52238,53,0.5554793
1611320047052023808,1431,52992,572,0.5464086
1887023414951045120,1676,53147,55,0.4921223
2908326521670232064,2583,54095,462,0.5571327
891744651533379584,792,52353,116,0.5452688
2003005123156011008,1779,53089,106,0.4267182
864714531346081792,768,52281,85,0.6057358
1970479924452026368,1750,53358,564,0.6303538
1638344944978520064,1455,53089,584,0.6157327
1543712448580708352,1371,52821,377,0.5249901
2030086387260221440,1803,54152,323,0.5374243
1431145825085450240,1271,52974,462,0.6197717
2844134292232103936,2526,54582,404,0.4583784
2259728175439308800,2007,53474,171,0.5615606
1107990827541489664,984,52442,383,0.4804604
1131671838481475584,1005,52703,518,0.5887457
1963675866537945088,1744,53055,387,0.5990118
301805798739175424,268,51633,235,0.595322
1511000877672982528,1342,52793,157,0.5928046
2978041887471986688,2645,54477,133,0.4930311
1314056079105091584,1167,52738,476,0.6422201
1799354128275630080,1598,53033,604,0.5032819
2495076170849085440,2216,53795,298,0.5795824
2835118840952678400,2518,54243,374,0.517687
895235601370998784,795,52378,528,0.5607508
2942146956060813312,2613,54481,620,0.512818
2980301109291149312,2647,54495,160,0.5229549
1621333575867590656,1440,53084,137,0.5830032
460551642283010048,409,51871,213,0.4675294
671169150269286400,596,52370,483,0.5695562
2098774513838745600,1864,53313,353,0.5851324
620420085252646912,551,51993,179,0.4962283
1894893998909188096,1683,53436,16,0.4704914
397592779024263168,353,51703,546,0.6149939
993147111690233856,882,52370,376,0.4817502
1059641182579091456,941,52709,616,0.4649328
2661756360210802688,2364,53737,469,0.4766942
2239568634743646208,1989,53772,559,0.4601235
2580658306288740352,2292,53713,348,0.575085
1368009664217769984,1215,52725,150,0.4545194
490896789021419520,436,51883,16,0.4712187
1031443651575703552,916,52378,434,0.6376748
2021130321252083712,1795,54507,509,0.5775959
2075035791356094464,1843,53816,8,0.6275792
2944339382280153088,2615,54483,404,0.5899436
2099960611990431744,1865,53312,572,0.499968
487630689563338752,433,51873,422,0.4117388
707191895159236608,628,52083,461,0.543907
2834061665958389760,2517,54567,624,0.5804049
2518663719475505152,2237,53828,93,0.5890988
2421955636158818304,2151,54523,527,0.5037869
2075171581042124800,1843,53816,502,0.4639143
2077460494876174336,1845,54144,637,0.5502399
2806944952855062528,2493,54115,278,0.4291547
2168587180077770752,1926,53317,378,0.4699606
1475082585599141888,1310,53033,559,0.4476574
2034503675610687488,1807,54175,9,0.5914857
749855971081218048,666,52149,24,0.6238231
2341956799709603840,2080,53350,309,0.4696485
2729211410503460864,2424,54448,109,0.4547174
2016499449110489088,1791,54266,46,0.4389866
1377147431417833472,1223,52781,625,0.5396256
1806020742907717632,1604,53078,281,0.5640585
1804970984868964352,1603,53119,558,0.590787
2396029139845933056,2128,53800,415,0.6282527
452743459149735936,402,51793,479,0.5524943
2194499097677817856,1949,53433,437,0.5257213
2184357751340165120,1940,53383,407,0.4824071
679031752651466752,603,52056,415,0.5808055
2550187265015965696,2265,53674,87,0.568794
1012356133777598464,899,52620,626,0.5386482
892989573859141632,793,52370,549,0.513281
1830836726956845056,1626,53472,449,0.5349599
2194508718404560896,1949,53433,472,0.5306148
1352267680509356032,1201,52674,225,0.5491176
672254912784001024,597,52059,337,0.5019509
1335344271942772736,1186,52646,98,0.4908994
1350117860885686272,1199,52703,596,0.4100572
1118059060013328384,993,52710,147,0.5644239
2188862725390624768,1944,53385,412,0.5234282
2076190283967522816,1844,54138,112,0.5256413
3089616475728668672,2744,54272,535,0.4362266
2675274856227956736,2376,53770,497,0.5166965
2648183164597463040,2352,53770,242,0.5020244
1928683921935984640,1713,53827,63,0.6271135
459535142944270336,408,51821,611,0.5689139
735263527568173056,653,52145,185,0.4139675
2069528056879409152,1838,53467,451,0.6200141
1318543186309703680,1171,52753,416,0.4404943
2801382249222662144,2488,54149,521,0.4432203
433488263177594880,385,51877,61,0.5015524
713938774744131584,634,52164,430,0.5378444
510090964044376064,453,51915,212,0.5631062
2921859037786040320,2595,54207,541,0.4967093
675674673152813056,600,52317,490,0.4767117
1539278122581518336,1367,53083,629,0.5935941
683580987245881344,607,52368,581,0.5525806
2436585727190919168,2164,53886,503,0.6017122
3133498263898974208,2783,54524,432,0.5283243
1773425452786935808,1575,53493,484,0.6284104
1366886513190660096,1214,52731,160,0.4979593
1551603647559788544,1378,53061,413,0.4721111
1876906538333923328,1667,53430,114,0.4657001
850116314692347904,755,52235,225,0.6309952
2045779161917712384,1817,53851,69,0.5212341
2823854063274190848,2508,53875,353,0.4099897
3344025329772554240,2970,54589,373,0.5394279
3123260436422617088,2774,54534,51,0.5503099
575490752394586112,511,52636,567,0.4742132
1907422934511675392,1694,53472,540,0.5119441
1902945173457889280,1690,53475,634,0.4112223
2285632120053327872,2030,53499,201,0.6352828
2568296222146193408,2281,53711,431,0.5700595
1953524899976865792,1735,53035,322,0.6279909
2839555650734811136,2522,54570,131,0.5742153
1609071545739667456,1429,52990,584,0.5335102
846682265269331968,752,52251,20,0.513286
2790083666863220736,2478,54097,377,0.4159456
1345477372412979200,1195,52724,98,0.5882847
1635935365162362880,1453,53084,10,0.5438885
811898664782948352,721,52228,454,0.502505
1613455299354585088,1433,53035,148,0.5424324
2642576754589329408,2347,53757,326,0.5485471
2647160069061371904,2351,53772,616,0.4741841
672305215440971776,597,52059,520,0.6129866
863647729702692864,767,52252,300,0.5540618
725193101039134720,644,52173,413,0.5896417
2797924835362105344,2485,54176,231,0.574755
830940286946404352,738,52521,95,0.4633753
1640551940146358272,1457,53116,421,0.5017964
2562687888227592192,2276,53712,508,0.4605502
834323754740901888,741,52261,116,0.5939975
1057267335749986304,939,52636,172,0.4219211
1569516616910137344,1394,53108,44,0.4203161
519060230064072704,461,51910,74,0.6343629
2824950006606227456,2509,54180,244,0.5297522
2850803380127819776,2532,54589,90,0.4357189
2274486644419618816,2020,53431,614,0.5359549
2730428839569156096,2425,54139,442,0.5659922
623900589427812352,554,52000,553,0.4736708
847927736763705344,753,52233,455,0.4104072
3327201427025061888,2955,54562,608,0.6031614
1996331912595007488,1773,53112,405,0.4481022
522575918460332032,464,51908,576,0.5702274
668804645061158912,594,52045,73,0.4142096
1945615016564647936,1728,53228,218,0.5160551
2934264001959323648,2606,54154,614,0.552017
812977010744780800,722,52224,281,0.5540655
560726774195972096,498,51984,104,0.4614837
916610933139204096,814,52443,467,0.5831133
1996303325292685312,1773,53112,301,0.4975437
2079710371081381888,1847,54176,630,0.4473778
631799760788940800,561,52295,618,0.4208928
1392874845422774272,1237,52762,497,0.6277459
1521208468697016320,1351,52790,428,0.6235327
2724743813808547840,2420,54086,240,0.5196328
1184548448196651008,1052,52466,370,0.4522824
1060731898013181952,942,52703,488,0.4068635
1049368993703421952,932,52620,110,0.5218501
1792437649659684864,1592,52990,18,0.5841894
738667890496006144,656,52148,282,0.4236842
635137052265965568,564,52224,471,0.5112072
1942325844944906240,1725,54266,540,0.4859744
523709240104216576,465,51910,603,0.5496119
550675587744688128,489,51930,402,0.4543003
667705407992522752,593,52026,170,0.429689
370579708397512704,329,52056,577,0.4580766
1119168192619505664,994,52725,86,0.5430209
1822848493593585664,1619,53084,60,0.5277163
1186783481296873472,1054,52516,309,0.4965286
1111306406214002688,987,52523,157,0.5851068
465161070877632512,413,51929,598,0.4712731
1998587847908550656,1775,53847,420,0.465467
2107786662120548352,1872,53386,371,0.6106652
3121005063112255488,2772,54529,38,0.4077214
931289960928012288,827,52312,621,0.5733908
1607938499141462016,1428,52998,558,0.4723838
703766642600994816,625,52145,288,0.6391299
941324379994744832,836,52376,262,0.5443214
2366646621023791104,2102,54115,18,0.5167189
1008823677325699072,896,52592,63,0.4821242
2659456732010407936,2362,53759,295,0.5391461
747722644064856064,664,52174,455,0.6178152
2828420609975805952,2512,53877,582,0.5215923
2259743293724190720,2007,53474,226,0.6094657
2747343995943282688,2440,53818,539,0.5473137
1553757866102384640,1380,53084,58,0.4759721
1612313730870175744,1432,53003,91,0.5339373
635108739841550336,564,52224,368,0.4246446
2635749886573701120,2341,53738,66,0.4202085
2973658405345978368,2641,54230,570,0.530158
1808240931376228352,1606,53055,166,0.5093269
2946559021697492992,2617,54502,287,0.6399
954878064746063872,848,52669,418,0.5116955
1371401382443116544,1218,52709,201,0.6123978
3146928799086569472,2795,54563,140,0.5821525
412239928441726976,366,52017,584,0.4905576
1578674995054274560,1402,52872,594,0.5160279
2255315284984358912,2003,53442,501,0.4766299
942460179968976896,837,52642,298,0.5448789
2524322361520449536,2242,54153,199,0.4352391
1366863698324383744,1214,52731,77,0.4405904
2662915795255846912,2365,53739,591,0.6360531
1088757348769490944,967,52636,44,0.6240949
1124865860381468672,999,52636,334,0.5862665
1433366289136510976,1273,52993,348,0.5747858
1004411333573109760,892,52378,395,0.467704
528112509345884160,469,51913,238,0.4525263
638538666834159616,567,52252,558,0.5359602
1551624263402809344,1378,53061,488,0.5040731
2185521584448497664,1941,53386,545,0.5365536
1606825793340598272,1427,52996,606,0.6044652
2438707515559536640,2166,54232,30,0.4118434
577680144068536320,513,51989,340,0.5247557
2908368577989994496,2583,54095,615,0.4458407
1799268091490756608,1598,53033,291,0.6095563
731869610017581056,650,52143,126,0.5280239
2018896103155460096,1793,53883,573,0.5891166
2815908720880412672,2501,54084,120,0.5341533
2260976121120057344,2008,53473,615,0.5498438
963784103394568192,856,52339,50,0.4271503
1009998780595988480,897,52605,242,0.5136945
2733782894118987776,2428,53801,356,0.6298453
574348905290950656,510,52381,509,0.5666092
2918374684951078912,2592,54178,153,0.6314298
1929949454685726720,1714,53521,571,0.540516
2582981299815868416,2294,53733,607,0.4497998
551725621332436992,490,51929,126,0.5232765
1533508434761115648,1362,53050,119,0.63503
3345138310434547712,2971,54590,326,0.6207186
2979187303743776768,2646,54479,204,0.4338264
1384995193832368128,1230,52672,503,0.5422013
2944298975227832320,2615,54483,257,0.5992063
