#Table1
specobjid,ra,dec,w1mpro,w2mpro,w3mpro,oiii_5007_flux,oiii_5007_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err
871556517411710976,164.78754,61.53064,10.092,9.682,5.157,165.9937,5.398224,1454.864,12.99243,7645.03,49.26654,3082.557,20.6871
1013425409120823296,140.98055,49.504457,12.44,12.235,9.412,43.77901,5.811851,25.15762,4.971555,180.2654,8.088827,215.7392,8.021976
506794902944770048,137.01931,55.692747,12.653,12.638,10.625,52.9028,3.681453,20.21087,3.20072,96.73683,4.77291,81.42072,4.363332
2832766435791497216,236.80693,10.751978,12.911,12.774,9.203,1953.259,16.1944,1077.835,10.27167,4017.025,24.98171,714.5389,7.419878
1061826456352483328,151.89485,46.093999,11.614,11.619,9.784,116.9357,9.790046,45.45727,6.645201,187.1837,11.04083,392.2331,15.45892
2582915054240294912,142.81669,26.549889,12.077,12.12,12.155,16.7865,2.321258,15.63754,2.17403,48.32508,3.503031,40.55014,3.224237
2523306138166913024,195.50057,27.782728,13.261,13.236,11.737,253.7464,7.799125,43.39046,4.037429,117.6491,5.44602,253.228,7.074332
2797922086583035904,164.79086,17.401356,12.9,12.676,8.529,740.4637,10.47734,1440.234,13.42301,5141.542,35.92513,1676.39,12.78123
737558208620554240,9.2940235,-9.4570149,12.186,12.019,7.916,3904.738,26.9887,2039.811,14.67634,7974.744,50.51664,1267.244,9.134955
933543959496517632,132.97845,40.835883,11.151,11.245,10.055,185.8391,8.865283,87.85116,8.201504,301.3992,13.78769,354.0273,12.78178
2575004067608684544,137.04808,21.999439,11.399,11.252,7.695,97.89893,7.373199,421.9171,8.194446,2211.219,19.01942,1110.188,13.04075
1787953565944276992,131.7788,28.236559,11.743,11.826,9.786,52.93981,5.313114,36.53101,4.543607,109.7757,6.370201,117.3895,6.900848
950381881940011008,184.53372,6.1395386,10.918,10.687,6.231,478.0686,13.82434,2424.668,25.00741,12356.05,90.06229,7663.177,51.30805
3001721790377519104,205.01221,23.142973,11.034,10.961,7.572,61.01204,7.567687,145.8181,7.131382,838.1998,13.47288,427.5466,11.57399
738622535641360384,11.943452,-9.8350754,10.607,10.59,8.338,95.74272,8.58252,73.97823,7.00597,375.0424,12.34233,482.0188,13.66698
799456865661511680,46.718414,-0.7945045,10.017,10.006,8.797,266.7648,18.85644,159.6467,15.4537,627.265,27.59264,1293.288,32.40283
462750389754685440,46.718407,-0.79446982,10.017,10.006,8.797,279.4177,19.65591,151.6064,15.26537,589.9675,26.33046,1351.727,32.58574
462750115816302592,46.718407,-0.79446982,10.017,10.006,8.797,284.9856,19.6867,134.1245,15.60562,602.3313,26.8014,1287.046,31.85959
635061185963649024,130.96285,2.7138511,11.238,11.305,9.798,72.35931,4.284907,43.28411,3.940506,142.2006,5.910994,150.7067,5.831207
2112312544944220160,135.09427,64.914387,11.159,11.145,8.41,56.02723,4.856888,142.3694,4.736556,586.373,8.341527,383.2055,7.901463
1611268370005518336,158.78579,45.084639,11.321,11.422,10.027,67.18091,7.464637,34.32082,6.139626,110.4646,9.459357,172.5343,10.75038
1611166390302042112,161.01535,43.903369,11.206,11.246,10.497,126.1264,8.55253,84.05665,8.689702,261.1629,13.06108,277.2377,10.97747
2027862899938060288,203.11639,7.3164433,9.959,9.985,8.161,97.46906,10.27042,99.55724,10.05049,344.5352,17.30946,404.711,17.69066
2445531084687960064,237.59468,18.939276,11.364,11.339,8.037,86.89826,5.809831,364.9189,6.318098,1520.266,13.62236,890.7112,9.82767
654214405856192512,166.37431,3.6599758,14.397,14.213,11.355,463.7224,7.257617,359.2458,6.364434,1212.021,10.66158,434.6016,6.298012
2738292270393485312,134.43962,17.046369,12.511,12.358,8.163,132.2305,3.446681,647.1654,5.912889,3126.749,17.62225,1385.129,8.364407
2844133467598383104,241.74146,10.751174,12.327,12.358,10.345,349.6696,6.117557,301.9255,5.171391,1090.838,10.17827,310.3551,5.8255
1473938539203815424,172.5149,57.308173,12.154,11.987,8.307,1149.665,12.16531,710.8599,8.839412,2975.852,20.57151,2133.057,15.20225
640704979820111872,143.17625,2.5335992,12.691,12.462,8.452,47.88549,3.632066,382.542,5.033506,1360.418,8.805631,860.1495,6.136675
1794693572675528704,146.62876,34.916837,11.94,11.605,7.006,173.5253,7.95469,1019.062,11.76453,4204.322,28.02799,3133.535,19.68938
2519789075951544320,191.73088,26.564287,12.308,11.688,7.283,7762.544,40.58192,2775.854,18.3123,9702.91,67.2619,1268.215,8.388079
609240250450995200,114.60303,33.151109,13.553,13.457,10.452,241.8594,2.748705,242.2523,2.533002,790.5424,4.626496,203.454,2.026813
1479510319209408512,180.32948,56.570196,11.699,11.701,9.386,71.68056,4.613948,22.47028,3.952294,116.4147,5.45572,153.5428,5.507944
3185236334960732160,254.94048,28.262442,11.582,11.444,7.385,36.31393,2.603936,185.3663,3.078673,926.6036,7.353087,321.5735,4.389384
1490767119892113408,210.31682,54.418717,11.263,11.374,10.735,114.5978,7.601598,23.47178,4.66946,92.60556,6.775702,48.79398,8.095377
3118903071439087616,210.27967,21.242945,14.028,13.689,9.639,10957.91,64.68716,2728.549,19.74413,8754.15,54.92374,574.0336,5.417384
2161793022801504256,117.23953,17.577108,11.597,11.599,10.261,291.9623,8.385423,163.2982,7.408543,690.3578,13.31316,854.5138,12.90852
